id,longitude,latitude
1,-73.98386,40.72724
2,-73.99445,40.69913
3,-73.95274,40.79846
4,-74.00175,40.74743
5,-73.94735,40.82951
6,-73.98304,40.77856
7,-73.93634,40.85688
8,-74.00886,40.71646
9,-73.97132,40.80002
10,-73.97892,40.7317
11,-74.00545,40.74761
12,-74.0036,40.72
13,-73.95423,40.772
14,-73.90037,40.9031
15,-74.00196,40.68461
16,-73.99443,40.73798
17,-73.97975,40.79018
18,-73.98404,40.73983
19,-73.98857,40.69649
20,-73.99562,40.73715
21,-73.9703,40.7996
22,-74.14126,40.54786
23,-73.97077,40.76225
24,-73.93599,40.82212
25,-73.96846,40.69184
26,-74.00102,40.74123
27,-73.99359,40.68416
28,-73.94933,40.76276
29,-73.9703,40.7996
30,-73.95132,40.77655
31,-73.98047,40.77583
32,-73.89887,40.82655
33,-73.9808,40.7452
34,-73.97358,40.7897
35,-73.98705,40.77612
36,-73.99757,40.73344
37,-73.94884,40.77101
38,-74.00659,40.73093
39,-73.99585,40.75925
40,-73.87718,40.73778
41,-73.99731,40.74706
42,-73.97872,40.74775
43,-73.99742,40.73434
44,-74.00132,40.73888
45,-73.91765,40.87663
46,-73.98247,40.77551
47,-73.9899,40.759
48,-73.97877,40.67632
49,-73.97893,40.78028
50,-73.99804,40.73886
51,-73.98424,40.77422
52,-74.01051,40.71482
53,-73.9481,40.8274
54,-73.9607,40.7685
55,-73.92329,40.86665
56,-74.00591,40.71924
57,-73.9786,40.7865
58,-74.0056,40.71553
59,-73.949,40.60253
60,-73.99922,40.72553
61,-73.98451,40.72485
62,-73.9832,40.7225
63,-73.91501,40.83472
64,-73.97885,40.7728
65,-73.86557,40.87438
66,-74.08142,40.63061
67,-73.96439,40.68912
68,-73.9514,40.77146
69,-73.97279,40.79327
70,-73.94887,40.80559
71,-73.96632,40.79267
72,-73.97336,40.66994
73,-73.98538,40.6661
74,-73.95308,40.78708
75,-73.99989,40.72603
76,-73.92193,40.86817
77,-73.9775,40.68123
78,-74.00991,40.72445
79,-73.9703,40.7996
80,-73.95972,40.77913
81,-73.981,40.77686
82,-74.00481,40.73677
83,-73.90618,40.90435
84,-73.99311,40.73166
85,-73.9703,40.7564
86,-73.97057,40.80108
87,-73.96797,40.80366
88,-73.9845,40.77921
89,-73.97289,40.79822
90,-73.95104,40.77227
91,-73.91895,40.87263
92,-73.98026,40.77198
93,-73.97694,40.78878
94,-73.99714,40.66187
95,-73.98346,40.66248
96,-73.95705,40.77981
97,-73.94297,40.71791
98,-73.97097,40.60196
99,-73.96993,40.80027
100,-74.0018,40.7177
101,-73.99497,40.73853
102,-73.99922,40.74673
103,-73.99527,40.69713
104,-73.90537,40.90922
105,-73.97742,40.67107
106,-73.96585,40.67365
107,-73.9933,40.73442
108,-73.9493,40.728
109,-73.9769,40.73379
110,-73.98703,40.76886
111,-73.973,40.79497
112,-73.9949,40.69214
113,-73.99108,40.76069
114,-73.94006,40.79736
115,-73.962,40.67206
116,-73.98089,40.78703
117,-73.975,40.67735
118,-73.98671,40.7466
119,-73.99237,40.733
120,-73.99478,40.69559
121,-73.97435,40.6508
122,-73.97453,40.68837
123,-73.97628,40.6666
124,-73.98326,40.78211
125,-73.9639,40.7762
126,-73.98257,40.72541
127,-73.95909,40.63195
128,-73.92436,40.63469
129,-73.97158,40.79819
130,-73.8216,40.81313
131,-73.84488,40.83997
132,-73.96221,40.75942
133,-73.9808,40.7452
134,-73.98714,40.68567
135,-73.95535,40.65887
136,-74.00119,40.73055
137,-73.9909,40.71479
138,-73.98712,40.73282
139,-73.97497,40.66846
140,-74.00933,40.73221
141,-74.00229,40.72625
142,-73.97519,40.79544
143,-73.95904,40.76972
144,-73.96707,40.80091
145,-73.97919,40.65124
146,-73.99715,40.72484
147,-73.91331,40.88446
148,-73.97865,40.6669
149,-73.98026,40.78708
150,-73.99407,40.69979
151,-74.00456,40.74106
152,-73.94884,40.77101
153,-73.97924,40.68956
154,-73.9496,40.7796
155,-73.97433,40.79295
156,-74.0331,40.62929
157,-73.99305,40.7305
158,-74.00215,40.72475
159,-73.90537,40.90922
160,-73.97901,40.68136
161,-73.97268,40.79533
162,-73.98366,40.724
163,-73.93123,40.79619
164,-73.9496,40.7796
165,-73.99329,40.73227
166,-73.98358,40.77455
167,-73.99552,40.73161
168,-73.98891,40.72883
169,-73.94066,40.84233
170,-73.97569,40.74272
171,-73.9799,40.67057
172,-73.99428,40.73776
173,-73.97901,40.73447
174,-73.974,40.6559
175,-73.992,40.68675
176,-73.81448,40.73275
177,-73.98322,40.67081
178,-73.98842,40.68646
179,-74.0732,40.60168
180,-73.99429,40.71222
181,-73.94607,40.77255
182,-73.9763,40.78291
183,-73.92125,40.85097
184,-73.9588,40.7667
185,-73.99388,40.68126
186,-74.00074,40.72662
187,-73.97882,40.66444
188,-74.00932,40.71555
189,-73.99548,40.74531
190,-73.96884,40.80108
191,-73.96144,40.75733
192,-73.98957,40.65965
193,-73.95446,40.78179
194,-73.96292,40.79971
195,-73.97496,40.78702
196,-73.98349,40.72314
197,-73.97697,40.68773
198,-73.98434,40.76592
199,-73.96551,40.80426
200,-73.97102,40.75419
201,-73.96658,40.67689
202,-73.9481,40.8274
203,-73.96721,40.79175
204,-73.94594,40.82307
205,-73.98369,40.76696
206,-73.9703,40.7996
207,-74.0959,40.64167
208,-73.94323,40.83951
209,-73.96183,40.77016
210,-73.99754,40.74312
