DistrictNumber,Member,Borough,Party,Neighborhoods
1,Margaret S. Chin,Manhattan,Democrat,"Battery Park City, Civic Center, Chinatown, Financial District, Little Italy, the Lower East Side, NoHo, SoHo, South Street Seaport, South Village, TriBeCa & Washington Square"
2,Carlina Rivera,Manhattan,Democrat,"East Village, Gramercy Park, Kips Bay, Lower East Side, Murray Hill, Rose Hill"
3,Corey Johnson,Manhattan,Democrat,"Chelsea, Hell’s Kitchen, Greenwich Village, West SoHo, Hudson Square, Times Square, Garment District, Flatiron, Upper West Side"
4,Keith Powers,Manhattan,Democrat,"Upper East Side, Carnegie Hill, Yorkville, Central Park South, Midtown East, Times Square, Koreatown, Peter Cooper Village and Stuyvesant Town, Waterside Plaza, Tudor City, Turtle Bay, Murray Hill, Sutton Place"
5,Ben Kallos,Manhattan,Democrat,"Upper East Side's Yorkville, Lenox Hill, Carnegie Hill, Roosevelt Island, Midtown East, Sutton Place, El Barrio in East Harlem"
6,Helen Rosenthal,Manhattan,Democrat,"Central Park, Lincoln Square, Upper West Side, Clinton"
7,Mark Levine,Manhattan,Democrat,"Manhattan Valley, Manhattanville, Morningside Heights, Hamilton Heights"
8,Diana Ayala,Manhattan/Bronx,Democrat,"El Barrio/East Harlem, Mott Haven, Highbridge, Concourse, Longwood, Port Morris"
9,Bill Perkins,Manhattan,Democrat,"Central Harlem, Morningside Heights, Upper West Side, East Harlem"
10,Ydanis Rodriguez,Manhattan,Democrat,"Washington Heights, Inwood, Marble Hill"
11,Andrew Cohen,Bronx,Democrat,"Bedford Park, Kingsbridge, Riverdale, Norwood, Van Cortlandt Village, Wakefield, Woodlawn"
12,Andy King,Bronx,Democrat,"Wakefield, Olinville, Edenwald, Eastchester, Williamsbridge, Baychester, Co-op City"
13,Mark Gjonaj,Bronx,Democrat,"Allerton, City Island, Country Club, Edgewater Park, Ferry Point, Locust Point, Morris Park, Pelham Bay, Pelham Gardens, Pelham Parkway, Schuylerville, Silver Beach, Spencer Estates, Throggs Neck, Van Nest, Waterbury LaSalle, Westchester Square, Zerega"
14,Fernando Cabrera,Bronx,Democrat,"Morris Heights, University Heights, Fordham, Kingsbridge"
15,Ritchie J. Torres,Bronx,Democrat,"Bedford Park, Fordham, Mount Hope, Bathgate, Belmont, East Tremont, West Farms, Van Nest, Allerton, Olinville"
16,Vanessa L. Gibson,Bronx,Democrat,"Claremont, Concourse, Concourse Village, Highbridge, Morris Heights, Mount Eden, Morrisania"
17,Rafael Salamanca Jr.,Bronx,Democrat,"Concourse Village, Crotona Park East, East Tremont, Hunts Point, Longwood, Melrose, Morrisania, Port Morris, West Farms, North Brother Island, South Brother Island"
18,Ruben Diaz Sr.,Bronx,Democrat,"Soundview, Castle Hill, Parkchester, Clason Point, Harding Park"
19,Paul Vallone,Queens,Democrat,"Auburndale, Bay Terrace, Bayside, Beechhurst, College Point, Douglaston, Flushing, Little Neck, Malba, Whitestone"
20,Peter Koo,Queens,Democrat,"Downtown Flushing, Murray Hill, Queensboro Hill"
21,Francisco Moya,Queens,Democrat,"East Elmhurst, Elmhurst, Jackson Heights, and Corona in Queens, including Flushing Meadows Corona Park, Lefrak City and LaGuardia Airport"
22,Costa Constantinides,Queens,Democrat,"Astoria, East Elmhurst, Jackson Heights, Woodside"
23,Barry Grodenchik,Queens,Democrat,"Bayside Hills, Bellerose, Douglaston, Floral Park, Fresh Meadows, Glen Oaks, Hollis, Hollis Hills, Holliswood, Little Neck, New Hyde Park, Oakland Gardens, Queens Village"
24,Rory I. Lancman,Queens,Democrat,"Kew Gardens Hills, Pomonok, Electchester, Fresh Meadows, Hillcrest, Jamaica Estates, Briarwood, Parkway Village, Jamaica Hills, Jamaica"
