id,longitude,latitude
1,-73.98386,40.72724
2,-73.99445,40.69913
3,-73.9786,40.7865
4,-73.95274,40.79846
5,-74.00175,40.74743
6,-73.94735,40.82951
7,-73.9639,40.7762
8,-73.98304,40.77856
9,-73.93634,40.85688
10,-74.00886,40.71646
11,-73.97132,40.80002
12,-73.97892,40.7317
13,-73.9993,40.7418
14,-74.00545,40.74761
15,-73.9895,40.7324
16,-74.0036,40.72
17,-74.0095,40.7128
18,-73.95423,40.772
19,-73.9468,40.7903
20,-73.9721,40.7512
21,-73.90037,40.9031
22,-74.00196,40.68461
23,-73.9855,40.6664
24,-73.99443,40.73798
25,-73.97975,40.79018
26,-73.98404,40.73983
27,-73.98857,40.69649
28,-73.99562,40.73715
29,-73.9703,40.7996
30,-74.14126,40.54786
31,-73.97077,40.76225
32,-73.93599,40.82212
33,-73.96846,40.69184
34,-74.00102,40.74123
35,-73.99359,40.68416
36,-73.9874,40.7642
37,-73.94933,40.76276
38,-73.9703,40.7996
39,-73.9721,40.7512
40,-73.9393,40.5984
41,-73.95132,40.77655
42,-73.98047,40.77583
43,-73.89887,40.82655
44,-73.9927,40.6955
45,-73.9808,40.7452
46,-73.97358,40.7897
47,-73.98705,40.77612
48,-73.99757,40.73344
49,-73.9895,40.7324
50,-73.94884,40.77101
51,-74.00659,40.73093
52,-73.99585,40.75925
53,-73.9216,40.7046
54,-73.87718,40.73778
55,-73.99731,40.74706
56,-73.97872,40.74775
57,-73.99742,40.73434
58,-74.00132,40.73888
59,-73.91765,40.87663
60,-73.9703,40.7996
61,-99.15,19.4
62,-73.98247,40.77551
63,-73.9899,40.759
64,-73.97877,40.67632
65,-73.97893,40.78028
66,-73.99804,40.73886
67,-73.98424,40.77422
68,-74.01051,40.71482
69,-73.9899,40.759
70,-73.9481,40.8274
71,-73.9786,40.7865
72,-73.9607,40.7685
73,-73.92329,40.86665
74,-74.00591,40.71924
75,-73.9786,40.7865
76,-74.0056,40.71553
77,-73.949,40.60253
78,-73.99922,40.72553
79,-73.7602,40.6022
80,-73.98451,40.72485
81,-73.9703,40.7996
82,-73.9832,40.7225
83,-73.91501,40.83472
84,-73.9899,40.759
85,-73.97885,40.7728
86,-73.86557,40.87438
87,-74.08142,40.63061
88,-73.96439,40.68912
89,-73.9808,40.7452
90,-73.9514,40.77146
91,-73.97279,40.79327
92,-73.94887,40.80559
93,-73.9804,40.6844
94,-73.96632,40.79267
95,-73.97336,40.66994
96,-73.9855,40.6664
97,-73.98538,40.6661
98,-73.95308,40.78708
99,-73.99989,40.72603
100,-73.9855,40.6664
101,-73.92193,40.86817
102,-73.9703,40.7564
103,-73.9524,40.7141
104,-73.9775,40.68123
105,-73.9993,40.7418
106,-73.9703,40.7996
107,-73.9759,40.6416
108,-74.00991,40.72445
109,-73.9703,40.7996
110,-73.9607,40.7685
111,-73.95972,40.77913
112,-74.179,40.5426
113,-73.981,40.77686
114,-74.00481,40.73677
115,-73.9549,40.6471
116,-73.90618,40.90435
117,-73.99311,40.73166
118,-73.9457,40.7608
119,-73.9961,40.7243
120,-73.9703,40.7564
121,-73.97057,40.80108
122,-73.96797,40.80366
123,-73.9703,40.7996
124,-73.9202,40.8202
125,-73.9825,40.7773
126,-73.9845,40.77921
127,-74.1179,40.6309
128,-73.97289,40.79822
129,-73.95104,40.77227
130,-73.91895,40.87263
131,-73.98026,40.77198
132,-73.9656,40.6192
133,-73.9808,40.7452
134,-73.9825,40.7773
135,-73.97694,40.78878
136,-73.99714,40.66187
137,-73.98346,40.66248
138,-73.95705,40.77981
139,-73.9899,40.759
140,-73.94297,40.71791
141,-74.0053,40.734
142,-73.97097,40.60196
143,-73.9825,40.7773
144,-73.96993,40.80027
145,-73.9895,40.7324
146,-73.9879,40.7423
147,-74.1524,40.6064
148,-74.0018,40.7177
149,-73.99497,40.73853
150,-73.99922,40.74673
151,-73.99527,40.69713
152,-73.90537,40.90922
153,-73.9899,40.759
154,-73.97742,40.67107
155,-73.96585,40.67365
156,-73.9804,40.6844
157,-73.9933,40.73442
158,-73.9493,40.728
159,-73.9769,40.73379
160,-73.98703,40.76886
161,-73.973,40.79497
162,-73.9949,40.69214
163,-73.99108,40.76069
164,-73.8433,40.845
165,-73.94006,40.79736
166,-73.962,40.67206
167,-73.9825,40.7773
168,-73.9855,40.6664
169,-73.9198,40.8679
170,-73.98089,40.78703
171,-73.9786,40.7865
172,-73.9895,40.7324
173,-73.975,40.67735
174,-73.936,40.8476
175,-73.9874,40.7642
176,-73.98671,40.7466
177,-73.9993,40.7418
178,-73.9895,40.7324
179,-73.99237,40.733
180,-73.9198,40.8679
181,-73.99478,40.69559
182,-73.97435,40.6508
183,-73.9703,40.7996
184,-73.97453,40.68837
185,-73.9895,40.7324
186,-73.97628,40.6666
187,-73.98326,40.78211
188,-73.9804,40.6844
189,-73.9639,40.7762
190,-73.98257,40.72541
191,-73.9786,40.7865
192,-73.9518,40.5828
193,-73.95909,40.63195
194,-73.8706,40.8733
195,-73.92436,40.63469
196,-73.97158,40.79819
197,-73.8216,40.81313
198,-73.9808,40.7452
199,-73.9245,40.6715
200,-73.9874,40.7642
201,-73.84488,40.83997
202,-73.9432,40.703
203,-74.0338,40.6237
204,-73.96221,40.75942
205,-73.9808,40.7452
206,-73.9874,40.7642
207,-73.98714,40.68567
208,-73.9703,40.7996
209,-73.95535,40.65887
210,-74.0045,40.6801
211,-73.8964,40.868
