name,image_url
Michael Bennet,//alipman88.github.io/rcv/images/MichaelBennet.jpg
Joe Biden,//alipman88.github.io/rcv/images/JoeBiden.jpg
Cory Booker,//alipman88.github.io/rcv/images/CoryBooker.jpg
Steve Bullock,//alipman88.github.io/rcv/images/SteveBullock.jpg
Pete Buttigieg,//alipman88.github.io/rcv/images/PeteButtigieg.jpg
Julián Castro,//alipman88.github.io/rcv/images/JulianCastro.jpg
Bill de Blasio,//alipman88.github.io/rcv/images/BilldeBlasio.jpg
John Delaney,//alipman88.github.io/rcv/images/JohnDelaney.jpg
Tulsi Gabbard,//alipman88.github.io/rcv/images/TulsiGabbard.jpg
Kamala Harris,//alipman88.github.io/rcv/images/KamalaHarris.jpg
Amy Klobuchar,//alipman88.github.io/rcv/images/AmyKlobuchar.jpg
Wayne Messam,//alipman88.github.io/rcv/images/WayneMessam.jpg
Beto O'Rourke,//alipman88.github.io/rcv/images/BetoORourke.jpg
Tim Ryan,//alipman88.github.io/rcv/images/TimRyan.jpg
Bernie Sanders,//alipman88.github.io/rcv/images/BernieSanders.jpg
Joe Sestak,//alipman88.github.io/rcv/images/JoeSestak.jpg
Tom Steyer,//alipman88.github.io/rcv/images/TomSteyer.jpg
Elizabeth Warren,//alipman88.github.io/rcv/images/ElizabethWarren.jpg
Marianne Williamson,//alipman88.github.io/rcv/images/MarianneWilliamson.jpg
Andrew Yang,//alipman88.github.io/rcv/images/AndrewYang.jpg
XOther,//alipman88.github.io/rcv/images/Other.jpg
