caseid,weight,votereg,Q2,Q3a,Q3b,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q12,Q18_1,Q18_2,Q18_3,Q18_6,Q21,Q22,tsmart_voter_score,tsmart_pid,tsmart_G2016_vote_type,tsmart_P2016_vote_type,tsmart_P2014_vote_type,tsmart_G2014_vote_type,tsmart_G2012_vote_type,tsmart_P2012_vote_type,tsmart_PP2012_vote_type,tsmart_match_status,tsmart_G2018,tsmart_G2018_vote_type,tsmart_P2018,tsmart_P2018_party,tsmart_P2018_vote_type,birthyr,gender,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputstate,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1038408881,0.490678852362798,1,9,9,1,1,2,1,1,1,1,2,1,4,2,1,1,1,6,2,2,4,2,4,1,4,1,998,8,7,5,2,998,3,998,9,4,6,10,998,998,998,998,998,5,1,2,3,4,2,3,3,3,3,1,5,3,1,3,5,98,5,5,5,98,98,1,1,5,1,1,5,1962,2,1,3,3,1,6,1,1,1,45,3,1,1,5,2,2,3,11/22/2019 23:58:31,11/23/2019 00:10:39
1038494383,0.765135660797436,1,9,9,1,6,1,6,2,6,2,2,5,3,2,3,6,2,5,2,2,5,2,4,2,4,998,1,998,2,998,5,8,998,998,4,998,998,7,10,3,6,998,9,1,3,4,5,2,4,1,3,3,3,1,5,3,1,3,5,98,5,5,5,98,98,1,1,5,1,1,5,1954,2,2,6,1,5,6,1,1,1,45,3,2,1,2,2,1,1,11/23/2019 00:11:37,11/23/2019 00:23:34
1038227463,0.684528229912132,1,9,9,1,6,1,3,3,6,1,3,6,4,4,1,1,2,6,2,2,6,3,4,2,4,998,1,8,10,998,4,998,998,998,998,3,2,6,998,7,5,998,9,1,2,5,4,3,1,1,3,1,3,1,4,1,8,8,98,98,98,98,98,98,98,8, , , , , ,1957,1,1,5,6,1,8,1,1,1,45,2,1,2,5,2,2,5,11/23/2019 00:10:48,11/23/2019 00:24:04
1037688665,0.212162353182759,1,9,9,2,6,3,4,4,3,3,3,6,1,4,3,6,4,6,4,4,2,3,1,9,3,998,998,998,998,998,998,998,998,1,998,998,998,998,998,998,998,2,998,997,997,997,997,997,5,4,8,3,1,2,4,2,1,3,5,5,98,98,5,5,5,1,1,5,1,2,5,1952,1,1,3,1,5,4,4,5,2,45,5,1,1,2,1,1,1,11/23/2019 00:46:44,11/23/2019 00:56:36
1038407121,1.02405801029509,1,9,9,1,6,1,2,2,6,4,4,6,4,2,4,5,1,6,2,2,4,3,4,2,4,998,1,998,4,998,998,998,998,998,5,998,998,2,998,6,3,998,998,1,998,4,2,3,1,1,3,3,3,1,2,1,1,3,5,98,5,5,5,98,98,1,1,5,1,1,5,1960,2,2,4,1,1,5,1,2,1,45,3,2,2,5,2,1,1,11/23/2019 00:51:08,11/23/2019 00:57:44
1038506449,0.46777679760505,1,9,9,1,6,1,4,2,5,1,2,6,4,2,2,4,4,5,3,2,4,2,4,2,4,998,1,998,7,998,2,998,998,998,6,5,998,998,998,998,4,998,3,1,2,4,998,3,1,1,3,3,3,1,1,1,2,3,98,98,98,11,11,98,98,1,1,5, , , ,1954,2,1,6,3,5,6,1,1,1,45,1,1,9,6,2,4,7,11/23/2019 00:55:29,11/23/2019 01:04:12
1038506459,1.06908973087269,1,9,9,1,6,3,4,4,6,2,2,5,5,4,5,6,1,6,3,1,6,2,4,16,1,998,6,998,998,998,3,5,998,998,998,998,998,2,998,7,1,998,4,4,3,5,2,1,1,2,3,3,3,1,5,2,5,8,98,98,98,98,98,98,98,1, , , , , ,1973,1,1,2,5,4,2,1,1,7,45,3,1,11,5,2,3,3,11/23/2019 01:09:23,11/23/2019 01:16:03
1038478149,1.35069873427969,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,16,4,8,10,5,3,4,7,998,998,998,998,9,998,998,998,998,1,6,2,2,3,4,5,1,1,2,1,1,2,8,1,1,8,8,98,98,98,98,98,98,98,8, , , , , ,1958,1,1,1,4,6,7,4,3,6,45,1,1,2,1,2,4,3,11/23/2019 01:11:49,11/23/2019 01:16:09
1038407103,0.176198578549065,1,9,9,1,6,3,4,2,6,6,4,6,6,4,6,6,4,6,4,4,6,3,2,4,4,998,998,998,1,998,998,998,998,998,998,998,998,998,998,2,998,998,3,998,1,998,998,998,5,4,2,8,3,2,4,2,2,3,5,98,98,98,98,98,98,1, , , , , ,1959,2,1,4,1,6,6,2,6,2,45,4,2,2,4,2,2,6,11/23/2019 01:25:46,11/23/2019 01:32:15
1038395591,1.74407898751745,1,9,9,1,6,3,6,5,6,5,5,5,5,5,5,6,1,6,5,1,4,5,4,16,3,998,998,998,3,998,998,998,998,998,998,998,998,2,998,998,1,998,998,5,4,3,2,1,2,2,3,3,3,3,2,2,3,3,5,98,98,98,98,98,98,1,1,5, , , ,1986,2,1,2,5,1,2,1,1,1,45,1,1,9,6,2,4,7,11/23/2019 01:29:23,11/23/2019 01:39:09
