caseid,weight,votereg,Q2,Q3a,Q3b,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_7,Q4_8,Q4_9,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q20,Q21,Q22,tsmart_voter_score,tsmart_pid,tsmart_G2016_vote_type,tsmart_P2016_vote_type,tsmart_P2014_vote_type,tsmart_G2014_vote_type,tsmart_G2012_vote_type,tsmart_P2012_vote_type,tsmart_PP2012_vote_type,tsmart_match_status,vb_vf_g2018,vb_vf_p2018,vb_vf_p2018_party,birthyr,gender,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputstate,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1001230385,0.979765340380448,1,9,9,1,2,2,2,5,1,4,3,4,2,2,5,2,2,1,6,4,1,3,2,4,19,3,998,8,3,998,5,2,998,998,998,6,7,998,9,10,4,998,998,1,998,998,5,4,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,4,2,3,3,3,3,2,3,2,2,3,3,3,3,2,3,2,3,3,1,2,1,1,1,1,1,3,3,3,3,3,3,98,1,A,A,D,1953,2,7,3,1,5,6,1,1,1,4,2,1,2,5,2,3,6,09/02/2019 19:05:27,09/02/2019 19:22:45
1001231213,1.54789968292455,1,9,9,1,5,2,2,6,2,2,6,5,3,5,6,8,5,2,6,6,2,6,8,4,2,4,998,1,998,998,998,3,4,998,998,998,998,998,998,998,2,998,998,998,998,998,1,4,5,2,3,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,1,2,3,8,2,3,3,8,2,3,2,2,3,3,3,1,8,8,3,3,3,1,5,5,3,1,1,1,98,98,1,1,1,98,1,,,,1947,1,1,5,5,1,3,1,1,1,55,3,1,2,2,2,1,1,09/02/2019 19:13:56,09/02/2019 19:26:39
1001119057,0.631902105558246,1,9,9,1,5,2,1,6,2,5,6,2,5,2,6,2,5,2,5,1,1,5,2,4,19,3,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,1,998,998,3,4,5,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,3,4,3,3,2,3,4,2,3,2,3,3,2,3,2,2,3,2,3,3,3,3,2,5,3,8,8,98,98,98,98,98,98,98,8,,,,1959,1,2,2,5,1,9,3,3,1,24,2,1,11,5,2,4,1,09/02/2019 19:11:30,09/02/2019 19:27:05
1001230881,0.756614463782546,1,9,9,1,5,1,2,5,2,5,5,3,1,2,5,2,5,3,5,5,1,4,2,4,22,4,998,1,998,998,7,5,998,998,998,3,6,998,4,998,998,998,998,2,998,998,1,4,3,5,2,1,1,3,2,2,2,1,1,2,2,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,2,4,4,2,8,8,98,98,98,98,98,98,98,8,P,P,D,1953,2,1,2,3,5,3,1,1,1,42,2,1,2,4,2,2,2,09/02/2019 19:10:32,09/02/2019 19:27:12
1001226275,1.07529813215173,1,9,9,2,6,2,2,6,2,3,6,5,2,3,6,2,6,2,6,5,2,6,6,4,19,3,998,3,998,998,2,998,998,998,998,4,998,998,998,998,998,998,998,1,998,998,3,2,4,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,2,3,3,2,2,2,2,2,1,3,2,2,4,3,3,3,3,1,4,1,1,1,2,8,5,98,98,5,5,98,98,1,Y,,,1949,1,1,3,1,5,10,3,3,1,25,3,1,11,6,2,4,7,09/02/2019 19:09:13,09/02/2019 19:27:37
1001231717,1.27410924036908,1,9,9,1,5,2,2,6,2,3,5,5,2,5,6,3,5,2,6,3,2,4,3,4,5,4,6,3,5,998,1,7,998,998,998,4,998,998,9,8,10,998,998,2,998,998,4,1,2,5,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,3,2,3,2,2,2,3,2,2,2,3,1,2,1,3,3,3,3,3,1,3,1,1,8,8,98,98,98,98,98,98,98,8,A,A,R,1956,2,1,6,1,1,15,3,4,1,18,3,1,1,2,1,1,2,09/02/2019 19:19:57,09/02/2019 19:30:34
1001231677,1.54789968292455,1,9,9,1,3,1,2,3,3,4,4,2,1,2,6,3,3,2,6,4,1,4,3,4,11,2,998,2,4,998,998,6,998,998,998,1,5,998,998,998,998,998,998,3,998,998,2,5,1,4,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,2,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,3,3,3,1,1,1,1,1,8,9,9,8,9,8,98,1,F,R,,1949,1,1,5,1,2,9,1,1,1,24,3,2,1,5,2,3,5,09/02/2019 19:19:02,09/02/2019 19:31:36
1001236459,1.89153095273258,1,9,9,2,5,5,6,6,5,6,5,5,3,5,5,5,5,5,6,5,2,2,5,1,22,5,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,1,3,4,2,4,3,3,4,3,3,1,1,4,4,4,8,4,3,4,1,5,3,8,8,98,98,98,98,98,98,98,8,,,,1994,2,3,1,2,7,3,5,3,2,12,4,3,2,3,2,1,2,09/02/2019 19:28:45,09/02/2019 19:32:51
1001237033,1.16802853166975,2,2,1,2,5,1,4,5,2,4,4,5,4,5,5,1,5,1,5,5,1,5,4,4,19,4,10,4,998,998,6,7,8,9,998,5,998,998,2,998,3,998,998,1,998,998,3,5,4,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,1,2,2,3,8,8,98,98,98,98,98,98,98,8,,,,1981,1,3,6,1,8,3,1,2,7,18,3,2,2,2,2,2,6,09/02/2019 19:35:06,09/02/2019 19:43:39
1001236651,0.787457889780146,1,9,9,1,6,2,2,6,5,5,6,6,2,5,6,5,6,2,6,5,2,6,6,4,16,4,998,2,998,998,998,998,998,998,998,998,998,998,998,998,1,998,998,998,998,998,3,5,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,3,1,3,2,2,2,2,2,2,3,3,2,1,1,3,3,1,3,1,1,5,2,1,1,3,5,98,5,5,5,98,98,1,Y,,,1952,1,1,2,1,5,6,1,1,1,16,2,1,11,6,2,4,6,09/02/2019 19:31:02,09/02/2019 19:47:58
1001236699,1.26289060989527,1,9,9,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,4,19,4,7,2,4,998,998,998,998,998,9,5,998,998,998,998,6,3,8,1,10,998,2,4,3,5,1,4,1,3,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,3,1,1,1,4,2,2,3,1,98,98,98,3,98,98,1,A,,,1963,2,6,2,1,6,2,4,3,1,55,3,1,1,2,1,1,1,09/02/2019 19:31:33,09/02/2019 19:56:28
1001236731,0.744847466567937,2,1,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,22,4,1,5,998,998,998,3,10,9,998,8,998,6,998,2,998,998,4,7,998,998,997,997,997,997,997,5,3,3,3,2,2,2,2,2,2,2,2,2,2,1,4,3,3,2,4,3,4,2,3,3,2,2,2,3,4,3,3,3,3,3,3,3,1,2,5,3,8,8,98,98,98,98,98,98,98,8,,,,1992,2,3,5,6,2,5,5,3,7,36,2,3,2,4,2,3,5,09/02/2019 19:31:45,09/02/2019 19:56:51
1001238111,0.477794590048961,1,9,9,2,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,1,3,3,3,19,1,4,998,9,3,998,998,10,8,998,998,998,7,998,2,998,5,998,1,6,998,4,2,5,3,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,3,2,2,3,2,8,8,98,98,98,98,98,98,98,8,,,,1985,2,3,5,1,1,11,1,2,1,48,3,2,2,4,2,2,6,09/02/2019 19:46:41,09/02/2019 19:58:18
1001237059,1.1856701144561,1,9,9,1,5,1,4,5,4,4,8,1,4,2,6,3,2,4,5,5,4,3,2,1,2,4,8,1,998,4,998,3,998,9,2,998,10,998,6,5,998,998,998,998,998,7,1,5,3,2,4,5,1,1,4,1,1,2,1,1,2,1,2,2,2,2,4,3,3,3,2,4,4,2,2,3,3,2,3,4,2,3,1,2,3,3,1,1,1,5,5,2,1,3,5,98,98,5,5,98,98,1,,,,1955,2,2,5,3,2,3,1,1,1,45,3,1,1,2,2,1,1,09/02/2019 19:35:21,09/02/2019 19:58:49
